Execution Info: Optimization=-O0,Runs=20
Run,Rank,Time
1,0,0.1683,0.16830000000000001
2,0,0.1705,0.17050000000000001
3,0,0.1710,0.17100000000000001
4,0,0.1678,0.1678
5,0,0.1684,0.16839999999999999
6,0,0.1673,0.1673
7,0,0.1679,0.16789999999999999
8,0,0.1686,0.1686
9,0,0.1715,0.17150000000000001
10,0,0.1693,0.16930000000000001
11,0,0.1766,0.17660000000000001
12,0,0.1699,0.1699
13,0,0.1690,0.16900000000000001
14,0,0.1679,0.16789999999999999
15,0,0.1686,0.1686
16,0,0.1680,0.16800000000000001
17,0,0.1694,0.1694
18,0,0.1688,0.16880000000000001
19,0,0.1711,0.1711
20,0,0.1681,0.1681
,,,0.16940000000000002
