Execution Info: Optimization=-O0,Runs=20
Run,Rank,Time
1,0,0.0225,0.022499999999999999
2,0,0.0168,0.016799999999999999
3,0,0.0181,0.018100000000000002
4,0,0.0150,0.014999999999999999
5,0,0.0187,0.018700000000000001
6,0,0.0162,0.016199999999999999
7,0,0.0145,0.014500000000000001
8,0,0.0167,0.0167
9,0,0.0173,0.017299999999999999
10,0,0.0163,0.016299999999999999
11,0,0.0196,0.019599999999999999
12,0,0.0158,0.015800000000000002
13,0,0.0186,0.018599999999999998
14,0,0.0207,0.0207
15,0,0.0145,0.014500000000000001
16,0,0.0191,0.019099999999999999
17,0,0.0144,0.0144
18,0,0.0159,0.015900000000000001
19,0,0.0150,0.014999999999999999
20,0,0.0163,0.016299999999999999
,,,0.017100000000000004
