Execution Info: Optimization=-O0,Runs=20
Run,Rank,Time
1,0,0.0394,0.039399999999999998
2,0,0.0342,0.034200000000000001
3,0,0.0339,0.0339
4,0,0.0346,0.034599999999999999
5,0,0.0342,0.034200000000000001
6,0,0.0340,0.034000000000000002
7,0,0.0341,0.034099999999999998
8,0,0.0337,0.033700000000000001
9,0,0.0347,0.034700000000000002
10,0,0.0346,0.034599999999999999
11,0,0.0347,0.034700000000000002
12,0,0.0346,0.034599999999999999
13,0,0.0341,0.034099999999999998
14,0,0.0341,0.034099999999999998
15,0,0.0341,0.034099999999999998
16,0,0.0341,0.034099999999999998
17,0,0.0345,0.034500000000000003
18,0,0.0345,0.034500000000000003
19,0,0.0340,0.034000000000000002
20,0,0.0340,0.034000000000000002
,,,0.034505000000000008
