Execution Info: Optimization=-O0,Runs=20
Run,Rank,Time
1,0,0.1688,0.16880000000000001
2,0,0.1642,0.16420000000000001
3,0,0.1633,0.1633
4,0,0.1633,0.1633
5,0,0.1636,0.1636
6,0,0.1645,0.16450000000000001
7,0,0.1654,0.16539999999999999
8,0,0.1665,0.16650000000000001
9,0,0.1632,0.16320000000000001
10,0,0.1633,0.1633
11,0,0.1633,0.1633
12,0,0.1628,0.1628
13,0,0.1648,0.1648
14,0,0.1644,0.16439999999999999
15,0,0.1633,0.1633
16,0,0.1636,0.1636
17,0,0.1634,0.16339999999999999
18,0,0.1637,0.16370000000000001
19,0,0.1636,0.1636
20,0,0.1629,0.16289999999999999
,,,0.16409500000000005
