Execution Info: Optimization=-O0,Runs=20
Run,Rank,Time
1,0,0.3085,0.3085
2,0,0.3009,0.3009
3,0,0.3018,0.30180000000000001
4,0,0.2987,0.29870000000000002
5,0,0.3018,0.30180000000000001
6,0,0.3020,0.30199999999999999
7,0,0.3001,0.30009999999999998
8,0,0.3049,0.3049
9,0,0.3024,0.3024
10,0,0.3127,0.31269999999999998
11,0,0.2996,0.29959999999999998
12,0,0.2992,0.29920000000000002
13,0,0.3040,0.30399999999999999
14,0,0.3240,0.32400000000000001
15,0,0.3067,0.30669999999999997
16,0,0.3057,0.30570000000000003
17,0,0.3022,0.30220000000000002
18,0,0.3118,0.31180000000000002
19,0,0.3098,0.30980000000000002
20,0,0.3024,0.3024
,,,0.30496000000000001
