Execution Info: Optimization=-O0,Runs=20
Run,Rank,Time
1,0,0.0410,0.041000000000000002
2,0,0.0400,0.040000000000000001
3,0,0.0369,0.036900000000000002
4,0,0.0392,0.039199999999999999
5,0,0.0396,0.039600000000000003
6,0,0.0401,0.040099999999999997
7,0,0.0433,0.043299999999999998
8,0,0.0378,0.0378
9,0,0.0359,0.035900000000000001
10,0,0.0384,0.038399999999999997
11,0,0.0478,0.047800000000000002
12,0,0.0380,0.037999999999999999
13,0,0.0340,0.034000000000000002
14,0,0.0492,0.049200000000000001
15,0,0.0398,0.039800000000000002
16,0,0.0433,0.043299999999999998
17,0,0.0392,0.039199999999999999
18,0,0.0357,0.035700000000000003
19,0,0.0477,0.047699999999999999
20,0,0.0449,0.044900000000000002
,,,0.040590000000000001
