Execution Info: Optimization=-O0,Runs=20
Run,Rank,Time
1,0,0.0201,0.0201
2,0,0.0145,0.014500000000000001
3,0,0.0140,0.014
4,0,0.0149,0.0149
5,0,0.0149,0.0149
6,0,0.0151,0.015100000000000001
7,0,0.0147,0.0147
8,0,0.0156,0.015599999999999999
9,0,0.0149,0.0149
10,0,0.0151,0.015100000000000001
11,0,0.0148,0.014800000000000001
12,0,0.0155,0.0155
13,0,0.0148,0.014800000000000001
14,0,0.0176,0.017600000000000001
15,0,0.0153,0.015299999999999999
16,0,0.0141,0.0141
17,0,0.0151,0.015100000000000001
18,0,0.0152,0.0152
19,0,0.0178,0.0178
20,0,0.0175,0.017500000000000002
,,,0.015575000000000002
