Execution Info: Optimization=-O0,Runs=20
Run,Rank,Time
1,0,0.0664,0.066400000000000001
2,0,0.0654,0.0654
3,0,0.0694,0.069400000000000003
4,0,0.0660,0.066000000000000003
5,0,0.0648,0.064799999999999996
6,0,0.0645,0.064500000000000002
7,0,0.0652,0.065199999999999994
8,0,0.0652,0.065199999999999994
9,0,0.0643,0.064299999999999996
10,0,0.0642,0.064199999999999993
11,0,0.0646,0.064600000000000005
12,0,0.0655,0.065500000000000003
13,0,0.0654,0.0654
14,0,0.0648,0.064799999999999996
15,0,0.0647,0.064699999999999994
16,0,0.0653,0.065299999999999997
17,0,0.0647,0.064699999999999994
18,0,0.0653,0.065299999999999997
19,0,0.0647,0.064699999999999994
20,0,0.0652,0.065199999999999994
,,,0.065279999999999977
