Execution Info: Optimization=-O0,Runs=20
Run,Rank,Time
1,0,0.0868,0.086800000000000002
2,0,0.0718,0.071800000000000003
3,0,0.0727,0.072700000000000001
4,0,0.0720,0.071999999999999995
5,0,0.0729,0.072900000000000006
6,0,0.0727,0.072700000000000001
7,0,0.0737,0.073700000000000002
8,0,0.0732,0.073200000000000001
9,0,0.0672,0.067199999999999996
10,0,0.0706,0.070599999999999996
11,0,0.0681,0.068099999999999994
12,0,0.0785,0.0785
13,0,0.0720,0.071999999999999995
14,0,0.0799,0.079899999999999999
15,0,0.0672,0.067199999999999996
16,0,0.0689,0.068900000000000003
17,0,0.0771,0.077100000000000002
18,0,0.0711,0.071099999999999997
19,0,0.0737,0.073700000000000002
20,0,0.0736,0.073599999999999999
,,,0.073184999999999986
