Execution Info: Optimization=-O0,Runs=20
Run,Rank,Time
1,0,0.2156,0.21560000000000001
2,0,0.2145,0.2145
3,0,0.2202,0.22020000000000001
4,0,0.2147,0.2147
5,0,0.2211,0.22109999999999999
6,0,0.2095,0.20949999999999999
7,0,0.2127,0.2127
8,0,0.2205,0.2205
9,0,0.2129,0.21290000000000001
10,0,0.2146,0.21460000000000001
11,0,0.2115,0.21149999999999999
12,0,0.2108,0.21079999999999999
13,0,0.2118,0.21179999999999999
14,0,0.2159,0.21590000000000001
15,0,0.2131,0.21310000000000001
16,0,0.2169,0.21690000000000001
17,0,0.2200,0.22
18,0,0.2145,0.2145
19,0,0.2199,0.21990000000000001
20,0,0.2558,0.25580000000000003
,,,0.21732499999999999
