Execution Info: Optimization=-O0,Runs=20
Run,Rank,Time
1,0,1.2295,1.2295
2,0,1.2283,1.2282999999999999
3,0,1.2107,1.2107000000000001
4,0,1.2257,1.2257
5,0,1.2378,1.2378
6,0,1.2312,1.2312000000000001
7,0,1.2401,1.2401
8,0,1.2203,1.2202999999999999
9,0,1.2362,1.2362
10,0,1.2333,1.2333000000000001
11,0,1.2279,1.2279
12,0,1.2337,1.2337
13,0,1.2481,1.2481
14,0,1.2360,1.236
15,0,1.2325,1.2324999999999999
16,0,1.2413,1.2413000000000001
17,0,1.2834,1.2834000000000001
18,0,1.2412,1.2412000000000001
19,0,1.2404,1.2403999999999999
20,0,1.2504,1.2504
,,,1.2363999999999999
