Execution Info: Optimization=-O0,Runs=20
Run,Rank,Time
1,0,0.7751,0.77510000000000001
2,0,0.7696,0.76959999999999995
3,0,0.7686,0.76859999999999995
4,0,0.7765,0.77649999999999997
5,0,0.7728,0.77280000000000004
6,0,0.7774,0.77739999999999998
7,0,0.7747,0.77470000000000006
8,0,0.7698,0.76980000000000004
9,0,0.7779,0.77790000000000004
10,0,0.7806,0.78059999999999996
11,0,0.7806,0.78059999999999996
12,0,0.7818,0.78180000000000005
13,0,0.7723,0.77229999999999999
14,0,0.7737,0.77370000000000005
15,0,0.7815,0.78149999999999997
16,0,0.7718,0.77180000000000004
17,0,0.7815,0.78149999999999997
18,0,0.7735,0.77349999999999997
19,0,0.7741,0.77410000000000001
20,0,0.7753,0.77529999999999999
,,,0.77545500000000001
