Execution Info: Optimization=-O0,Runs=20
Run,Rank,Time
1,0,0.1972,0.19719999999999999
2,0,0.1925,0.1925
3,0,0.1919,0.19189999999999999
4,0,0.1923,0.1923
5,0,0.1919,0.19189999999999999
6,0,0.1919,0.19189999999999999
7,0,0.1917,0.19170000000000001
8,0,0.1935,0.19350000000000001
9,0,0.1920,0.192
10,0,0.1932,0.19320000000000001
11,0,0.1918,0.1918
12,0,0.1925,0.1925
13,0,0.1936,0.19359999999999999
14,0,0.1920,0.192
15,0,0.1921,0.19209999999999999
16,0,0.1924,0.19239999999999999
17,0,0.1928,0.1928
18,0,0.1933,0.1933
19,0,0.1934,0.19339999999999999
20,0,0.1920,0.192
,,,0.19270000000000001
